name,start,end,n,sample,approve,disapprove,spread
Gallup,2017-08-01 00:00:00,2017-08-03 00:00:00,1500,A,36,58,-22
Rasmussen Reports,2017-08-01 00:00:00,2017-08-03 00:00:00,1500,LV,39,59,-20
Economist/YouGov,2017-07-31 00:00:00,2017-08-01 00:00:00,1329,RV,39,55,-16
Reuters/Ipsos,2017-07-28 00:00:00,2017-08-01 00:00:00,3130,A,37,59,-22
Quinnipiac,2017-07-27 00:00:00,2017-08-01 00:00:00,1125,RV,33,61,-28
Economist/YouGov,2017-07-23 00:00:00,2017-07-25 00:00:00,1282,RV,41,54,-13
Reuters/Ipsos,2017-07-21 00:00:00,2017-07-25 00:00:00,1532,A,35,59,-24
FOX News,2017-07-16 00:00:00,2017-07-18 00:00:00,1020,RV,41,53,-12
Economist/YouGov,2017-07-15 00:00:00,2017-07-18 00:00:00,1273,RV,39,56,-17
Reuters/Ipsos,2017-07-14 00:00:00,2017-07-18 00:00:00,1470,A,38,58,-20
PPP (D),2017-07-14 00:00:00,2017-07-17 00:00:00,836,RV,41,55,-14
Monmouth,2017-07-13 00:00:00,2017-07-16 00:00:00,713,RV,40,52,-12
ABC News/Wash Post,2017-07-10 00:00:00,2017-07-13 00:00:00,,,,,
Bloomberg,2017-07-08 00:00:00,2017-07-12 00:00:00,1001,A,40,56,-16
Economist/YouGov,2017-07-09 00:00:00,2017-07-11 00:00:00,1284,RV,41,52,-11
Reuters/Ipsos,2017-07-07 00:00:00,2017-07-11 00:00:00,1530,A,40,56,-16
Economist/YouGov,2017-07-03 00:00:00,2017-07-04 00:00:00,1323,RV,41,53,-12
Reuters/Ipsos,2017-06-30 00:00:00,2017-07-04 00:00:00,1600,A,38,57,-19
IBD/TIPP,2017-06-23 00:00:00,2017-06-29 00:00:00,900,A,37,58,-21
FOX News,2017-06-25 00:00:00,2017-06-27 00:00:00,1017,RV,44,50,-6
Economist/YouGov,2017-06-25 00:00:00,2017-06-27 00:00:00,1295,RV,42,53,-11
USA Today/Suffolk,2017-06-24 00:00:00,2017-06-27 00:00:00,1000,RV,42,53,-11
Reuters/Ipsos,2017-06-23 00:00:00,2017-06-27 00:00:00,1620,A,35,58,-23
Quinnipiac,2017-06-22 00:00:00,2017-06-27 00:00:00,1212,RV,40,55,-15
NPR/PBS/Marist,2017-06-21 00:00:00,2017-06-25 00:00:00,995,RV,38,53,-15
Economist/YouGov,2017-06-18 00:00:00,2017-06-20 00:00:00,1277,RV,43,51,-8
NBC News/Wall St. Jrnl,2017-06-17 00:00:00,2017-06-20 00:00:00,900,A,40,55,-15
Reuters/Ipsos,2017-06-16 00:00:00,2017-06-20 00:00:00,1554,A,38,59,-21
CBS News,2017-06-15 00:00:00,2017-06-18 00:00:00,1117,A,36,57,-21
Pew Research,2017-06-08 00:00:00,2017-06-18 00:00:00,2097,RV,42,54,-12
Gallup,2017-06-11 00:00:00,2017-06-13 00:00:00,1500,A,36,59,-23
Rasmussen Reports,2017-06-11 00:00:00,2017-06-13 00:00:00,1500,LV,45,55,-10
Economist/YouGov,2017-06-11 00:00:00,2017-06-13 00:00:00,1310,RV,42,51,-9
Reuters/Ipsos,2017-06-09 00:00:00,2017-06-13 00:00:00,1492,A,40,56,-16
CNBC,2017-06-09 00:00:00,2017-06-12 00:00:00,800,A,37,51,-14
PPP (D),2017-06-09 00:00:00,2017-06-11 00:00:00,811,RV,41,52,-11
Rasmussen Reports,2017-06-04 00:00:00,2017-06-06 00:00:00,1500,LV,45,55,-10
Economist/YouGov,2017-06-04 00:00:00,2017-06-06 00:00:00,1288,RV,40,56,-16
Reuters/Ipsos,2017-06-02 00:00:00,2017-06-06 00:00:00,2371,A,38,58,-20
Quinnipiac,2017-05-31 00:00:00,2017-06-06 00:00:00,1361,RV,34,57,-23
IBD/TIPP,2017-05-30 00:00:00,2017-06-06 00:00:00,903,A,37,55,-18
Rasmussen Reports,2017-05-28 00:00:00,2017-05-30 00:00:00,1500,LV,43,57,-14
Economist/YouGov,2017-05-27 00:00:00,2017-05-30 00:00:00,1269,RV,40,53,-13
Reuters/Ipsos,2017-05-26 00:00:00,2017-05-30 00:00:00,2081,A,40,55,-15
FOX News,2017-05-21 00:00:00,2017-05-23 00:00:00,1011,RV,40,53,-13
Gallup,2017-05-21 00:00:00,2017-05-23 00:00:00,1500,A,39,55,-16
Rasmussen Reports,2017-05-21 00:00:00,2017-05-23 00:00:00,1500,LV,48,52,-4
Economist/YouGov,2017-05-20 00:00:00,2017-05-23 00:00:00,1276,RV,40,53,-13
Reuters/Ipsos,2017-05-19 00:00:00,2017-05-23 00:00:00,2000,A,37,57,-20
Quinnipiac,2017-05-17 00:00:00,2017-05-23 00:00:00,1404,RV,37,55,-18
Monmouth,2017-05-13 00:00:00,2017-05-17 00:00:00,896,RV,39,54,-15
Gallup,2017-05-14 00:00:00,2017-05-16 00:00:00,1500,A,38,57,-19
Rasmussen Reports,2017-05-14 00:00:00,2017-05-16 00:00:00,1500,LV,44,56,-12
Economist/YouGov,2017-05-13 00:00:00,2017-05-16 00:00:00,1298,RV,39,54,-15
Reuters/Ipsos,2017-05-12 00:00:00,2017-05-16 00:00:00,1868,A,39,55,-16
PPP (D),2017-05-12 00:00:00,2017-05-14 00:00:00,692,RV,40,54,-14
NBC News/Wall St. Jrnl,2017-05-11 00:00:00,2017-05-13 00:00:00,800,A,39,54,-15
Gallup,2017-05-07 00:00:00,2017-05-09 00:00:00,1500,A,40,53,-13
Rasmussen Reports,2017-05-07 00:00:00,2017-05-09 00:00:00,1500,LV,47,53,-6
Economist/YouGov,2017-05-06 00:00:00,2017-05-09 00:00:00,1287,RV,43,52,-9
Reuters/Ipsos,2017-05-05 00:00:00,2017-05-09 00:00:00,1830,A,43,52,-9
Quinnipiac,2017-05-04 00:00:00,2017-05-09 00:00:00,1078,RV,36,58,-22
