Brewery,County
12 Bar Brewing ,Kent
1648 Brewing ,East Sussex
3 Brewers ,Hertfordshire
360 Degree Brewing ,East Sussex
40 foot Brewery,London
4Ts Brewery ,Cheshire
8 Sail Brewery ,Lincolnshire
Abbey Ales Brewery ,Somerset
Abbey Ford Brewery ,Surrey
Abbeydale Brewery ,South Yorkshire
Acorn Brewery,South Yorkshire
Adnams Brewery,Suffolk
Aeronaut Brewery ,London
Ales of Scilly ,Cornwall
Alfreds Brewery ,Hampshire
Allendale Brewery ,Northumberland
Allgates Brewery ,Lancashire
All Saints Brewery ,Lincolnshire
Almasty Brewing Co ,Tyne and Wear
Alphabet Brewing Company,Manchester
Amber Ales,Derbyshire
Ambridge Brewery ,Worcestershire
Anarchy Brew Co ,Northumberland
Andwells Brewery ,Hampshire
Angel Ales ,Worcestershire
Anspach  Hobday Brewery ,London
Arbor Ales ,Avon
Arkells Brewery ,Wiltshire
Arundel Brewery ,West Sussex
Ascot Ales ,Surrey
Ashover Brewery,Derbyshire
Ashley Down Brewery,Avon
Ashton Gate Brewery Co,Avon
Atlantic Brewery ,Cornwall
Atom Beers,East Yorkshire
Atomic Brewery ,Warwickshire
Austendyke Ales,Lincolnshire
Aylesbury Brewhouse ,Buckinghamshire
Backyard Brewhouse (the),West Midlands
Bad Seed Brewery,North Yorkshire
Ballards Brewery ,West Sussex
Banks  Tayor Brewery ,Bedfordshire
Bank Top Brewery ,Lancashire
Bankss ,West Midlands
Bare Arts Brewery,Lancashire
Barnet Brewery ,London
Barngates Brewery ,Cumbria
Barrow Green Brewery ,Surrey
Barum Brewery,Devon
Batemans Brewery ,Lincolnshire
Bath Ales ,Avon & Somerset
Battledown Brewery ,Gloucestershire
Battlefield Brewery ,Shropshire
Beachy Head Brewery ,East Sussex
Bear Claw Brewery ,Northumberland
Beartown Brewery ,Cheshire
Beavertown Brewery ,London
Bedlam Brewery ,West Sussex
Beerblefish Brewing Company,London
Beeston Brewery,Norfolk
Bell Street Brewery ,Oxfordshire
Belleville Brewing ,London
Belvoir Brewery ,Leicestershire
Bespoke Brewery ,Gloucestershire
Bewdley Brewery ,Worcestershire
Bexley Brewery ,Kent
Big Lamp Brewers,Tyneside
Big Smoke Brew ,London
Billericay Brewing ,Essex
Binghams Brewery ,Berkshire
Birds Brewery ,Worcestershire
Bishop Nick ,Essex
Bitter End (the) ,Cumbria
Black Hill Brewery ,Durham
Black Paw Brewery ,Durham
Black Hole Brewery ,Staffordshire
Black Sheep Brewery ,North Yorkshire
Blackjack Brewery ,Manchester
Blindmans Brewery ,Somerset
Bloomsbury Brewery ,London
Blue Anchor Brewery ,Cornwall
Blue Bee Brewery ,South Yorkshire
Blue Monkey Brewery ,Nottinghamshire
Blueball Brewery ,Cheshire
Bollington Brewing ,Cheshire
Bournemouth Brewery ,Dorset
Bowland Brewery ,Lancashire
Bowman Ales ,Hampshire
Box Steam Brewery ,Wiltshire
Brakspear Brewery,Oxfordshire
Brampton Brewery,Derbyshire
Branscombe Vale Brewery,Devon
Brass Castle Brewery ,North Yorkshire
Brentwood Brewing ,Essex
Brew Buddies ,Kent
Brew by Numbers ,London
Brew Company,Sheffield
Brewhouse and Kitchen,Various
Brewsters Brewing Company,Lincolnshire
Briarbank Brewing ,Suffolk
Brick Brewery ,London
Brighton Bier ,East Sussex
Brightside Brewing ,Manchester
Brightwater Brewery ,Surrey
Brimstage Brewery ,Merseyside
Bristol Beer Factory ,Avon & Somerset
Brixton Brewery ,London
Brockley Brewery ,London
Brown Cow Brewery ,North Yorkshire
Bude Brewery ,Cornwall
Bullfinch Brewery ,London
Buntingford Brewery,Hertfordshire
Burning Sky Brewery ,East Sussex
Burrington Brewery ,Devon
Burton Bridge Brewery ,Staffordshire
Butcombe Brewery,Avon & Somerset
Butts Brewery ,Berkshire
Byatts Brewery ,West Midlands
By the Horns Brewing ,London
Callowtop Bad Ram Brewery ,Derbyshire
Calvors Brewery ,Suffolk
Camden Town Brewery ,London
Camerons Brewery,Durham
Cannon Royall Brewery ,Worcestershire
Canopy Beer ,London
Canterbury Ales (the) ,Kent
Canterbury Brewers ,Kent
Captain Cook Brewery ,North Yorkshire
Castle Rock Brewery ,Nottinghamshire
Cathedral Heights Brewery ,Lincolnshire
Caveman Brewery ,Kent
Caythorpe Brewery ,Nottinghamshire
Cerne Abbas,Dorset
Chalk Hill Brewery ,Norfolk
Chantry Brewery,South Yorkshire
Charles Wells ,Bedfordshire
Charnwood Brewery ,Leicestershire
Cheddar Ales ,Somerset
Chiltern Brewery ,Buckinghamshire
Chorlton Brewing ,Manchester
Church End Brewery ,Warwickshire
City of Cambridge Brewery ,Cambridgeshire
Clarkshaws Brewery ,London
Cliff Quay Brewery ,Suffolk
Cloudwater Brew ,Manchester
Clun Brewery,Shropshire
Coach House Brewing ,Cheshire
Coastal Brewery ,Cornwall
Cobra Beer,Staffordshire
Colchester Brewery ,Essex
Compass Brewery,Oxfordshire
Concrete Cow Brewery ,Buckinghamshire
Coniston Brewery ,Cumbria
Conset Ale Works ,Durham
Copper Dragon ,North Yorkshire
Copper Kettle Craft Brewery ,Northamptonshire
Cornish Crown Brewery ,Cornwall
Corvedale Brewery ,Shropshire
Cotleigh Brewery ,Somerset
Cotswold Brewing Company ,Gloucestershire
Cotswold Lion ,Gloucestershire
Cotswold Spring Brewing Co ,Gloucestershire
Cottage Brewing ,Somerset
Country Life Brewery,Devon
Crate Brewery ,London
Cronx Brewery ,London
Crooked Brook Beer Co ,Sussex
Crouch Vale Brewery ,Essex
Cullercoates Brewery,Tyne & Wear
Cumbrian Legendary Ales,Cumbria
Daleside Brewery,North Yorkshire
Dancing Duck Brewery ,Derbyshire
Daniel Batham and Son,West Midlands
Daniel Thwaites Brewery,Lancashire
Dark Star Brewery ,West Sussex
Dartmoor Brewery,Devon
Darwin Brewery ,Tyne & Wear
Dawkins Ales ,Somerset
Decent Brewery ,Surrey
Derby Brewing Co ,Derbyshire
Derventio Brewery ,Derbyshire
Deva Craft Beer ,Cheshire
Dickensian Brewery,Shropshire
Donnington Brewery,Gloucestershire
Dorking Brewery,Surrey
Dorset Brewing Company ,Dorset
Double Maxim Beer Company,Northumbria
Dove Street Brewery ,Suffolk
Dow Bridge Brewery ,Leicestershire
Downton Brewery ,Wiltshire
Dragonfly Brewery ,London
Driftwood Spars Brewery ,Cornwall
Durham Brewery ,Durham
Earl Soham Brewery ,Suffolk
East London Brewing ,London
Eight Arch Brewing,Dorset
Electric Bear Brewing ,Avon
Elgoods Brewery ,Cambridgeshire
Elland Brewery ,West Yorkshire
Elliswood Brewery ,Leicestershire
Emmanuales ,South Yorkshire
Empire Brewing ,West Yorkshire
Essex Street Brewing ,London
Everards Brewery,Leicestershire
Exe Valley Brewery,Devon
Exeter Brewery,Devon
Exmoor Brewery ,Somerset
Falstaff Brewery ,Derbyshire
Fat Cat Brewery,Norfolk
Felstar Brewery ,Essex
Fenland Brewery ,Cambridgeshire
Fentimans,Northumberland
Firebrand Brewing,Cornwall
Firebrick Brewery ,Tyne and Wear
First chop Brewing Arm ,Manchester
Five Points Brewing ,London
Flack Manor Brewery ,Hampshire
Flipside Brewery,Nottinghamshire
Florence Brewery ,London
Flowerpots Brewery ,Hampshire
Force Brewery ,Gloucestershire
Forge Brewery,Devon
Four Candles,Kent
Fourpure Brewing ,London
Four Thieves ,London
Franklins Brewery ,East Sussex
Freedom Brewery,Staffordshire
Freeminer Brewery ,Gloucestershire
Frensham Brewery ,Surrey
Friday Beer Co (the) ,Worcestershire
Front Row Brewing ,Cheshire
Fullers Brewery ,London
G2 Brewing ,Kent
Gadds Ramsgate Brewery ,Kent
Gas Dog Brewery ,Leicestershire
Geipel Brewery,Manchester
George Samuel Brewing ,Durham
Georges Brewery ,Essex
Gipsy Hill Brewing ,London
Glastonbury Ales,Somerset
Goachers Brewery ,Kent
